,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix,year
0,0,Prepackaged software,72268924053.12727,ENS1,0.55000,0.11642,0.14910,0.13864,Equipment,-0.37479,0.00000,-0.07726,0.00925,0.11891,0.09630,Computers and Software,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.58200,0.60800,0.59968,1.00000,1.00000,1.00000,2020
1,1,Custom software,197240164684.60291,ENS2,0.33000,0.11642,0.14910,0.13864,Equipment,-0.37479,0.00000,-0.07726,0.00925,0.11891,0.09630,Computers and Software,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.36200,0.38800,0.37968,1.00000,1.00000,1.00000,2020
2,2,Mainframes,17413293618.87355,EP1A,0.46330,0.11642,0.14910,0.13864,Equipment,-0.37479,-0.00000,-0.07726,0.00925,0.11891,0.09630,Computers and Software,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.49530,0.52130,0.51298,1.00000,1.00000,1.00000,2020
3,3,PCs,53550810953.45985,EP1B,0.46330,0.11642,0.14910,0.13864,Equipment,-0.37479,0.00000,-0.07726,0.00925,0.11891,0.09630,Computers and Software,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.49530,0.52130,0.51298,1.00000,1.00000,1.00000,2020
4,4,DASDs,0.00000,EP1C,0.46330,0.11642,0.14910,0.13864,Equipment,-0.37479,0.00000,-0.07726,0.00925,0.11891,0.09630,Computers and Software,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.49530,0.52130,0.51298,1.00000,1.00000,1.00000,2020
5,5,Printers,9260043910.94578,EP1D,0.46330,0.11642,0.14910,0.13864,Equipment,-0.37479,0.00000,-0.07726,0.00925,0.11891,0.09630,Computers and Software,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.49530,0.52130,0.51298,1.00000,1.00000,1.00000,2020
6,6,Terminals,12396994619.05792,EP1E,0.46330,0.11642,0.14910,0.13864,Equipment,-0.37479,-0.00000,-0.07726,0.00925,0.11891,0.09630,Computers and Software,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.49530,0.52130,0.51298,1.00000,1.00000,1.00000,2020
7,7,Tape drives,0.00000,EP1F,0.46330,0.11642,0.14910,0.13864,Equipment,-0.37479,0.00000,-0.07726,0.00925,0.11891,0.09630,Computers and Software,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.49530,0.52130,0.51298,1.00000,1.00000,1.00000,2020
8,8,Storage devices,7998988409.10011,EP1G,0.46330,0.11642,0.14910,0.13864,Equipment,-0.37479,-0.00000,-0.07726,0.00925,0.11891,0.09630,Computers and Software,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.49530,0.52130,0.51298,1.00000,1.00000,1.00000,2020
9,9,System integrators,28310184524.93624,EP1H,0.46330,0.11642,0.14910,0.13864,Equipment,-0.37479,-0.00000,-0.07726,0.00925,0.11891,0.09630,Computers and Software,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.49530,0.52130,0.51298,1.00000,1.00000,1.00000,2020
10,10,Special industrial machinery,277678587240.98022,EI40,0.10310,0.11642,0.14910,0.13864,Equipment,-0.37479,0.00000,-0.07726,0.00925,0.11891,0.09630,Industrial Machinery,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.13510,0.16110,0.15278,1.00000,1.00000,1.00000,2020
11,11,General industrial equipment,476419502162.85541,EI50,0.10720,0.11642,0.14910,0.13864,Equipment,-0.37479,0.00000,-0.07726,0.00925,0.11891,0.09630,Industrial Machinery,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.13920,0.16520,0.15688,1.00000,1.00000,1.00000,2020
12,12,Office and accounting equipment,7268611167.04590,EP12,0.31190,0.11642,0.14910,0.13864,Equipment,-0.37479,-0.00000,-0.07726,0.00925,0.11891,0.09630,Instruments and Communications Equipment,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.34390,0.36990,0.36158,1.00000,1.00000,1.00000,2020
13,13,Communications,498336136105.87726,EP20,0.11290,0.11642,0.14910,0.13864,Equipment,-0.37479,-0.00000,-0.07726,0.00925,0.11891,0.09630,Instruments and Communications Equipment,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.14490,0.17090,0.16258,1.00000,1.00000,1.00000,2020
14,14,Photocopy and related equipment,25020946205.02676,EP31,0.18000,0.11642,0.14910,0.13864,Equipment,-0.37479,0.00000,-0.07726,0.00925,0.11891,0.09630,Instruments and Communications Equipment,0.03200,0.05800,0.04968,corporate,0.00030,0.00690,0.00478,0.21200,0.23800,0.22968,1.00000,1.00000,1.00000,2020
