,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix,year
0,0,Prepackaged software,72268924053.12727,ENS1,0.55000,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.08991,0.18158,0.13131,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.57801,0.60800,0.59840,1.00000,1.00000,1.00000,2020
1,1,Custom software,197240164684.60291,ENS2,0.33000,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.08991,0.18158,0.13131,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.35801,0.38800,0.37840,1.00000,1.00000,1.00000,2020
2,2,Mainframes,17413293618.87355,EP1A,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2020
3,3,PCs,53550810953.45985,EP1B,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.08991,0.18158,0.13131,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2020
4,4,DASDs,0.00000,EP1C,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.08991,0.18158,0.13131,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2020
5,5,Printers,9260043910.94578,EP1D,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.08991,0.18158,0.13131,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2020
6,6,Terminals,12396994619.05792,EP1E,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2020
7,7,Tape drives,0.00000,EP1F,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.08991,0.18158,0.13131,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2020
8,8,Storage devices,7998988409.10011,EP1G,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2020
9,9,System integrators,28310184524.93624,EP1H,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2020
10,10,Special industrial machinery,277678587240.98022,EI40,0.10310,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.08991,0.18158,0.13131,Industrial Machinery,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.13111,0.16110,0.15150,1.00000,1.00000,1.00000,2020
11,11,General industrial equipment,476419502162.85541,EI50,0.10720,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.08991,0.18158,0.13131,Industrial Machinery,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.13521,0.16520,0.15560,1.00000,1.00000,1.00000,2020
12,12,Office and accounting equipment,7268611167.04590,EP12,0.31190,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Instruments and Communications Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.33991,0.36990,0.36030,1.00000,1.00000,1.00000,2020
13,13,Communications,498336136105.87726,EP20,0.11290,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Instruments and Communications Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.14091,0.17090,0.16130,1.00000,1.00000,1.00000,2020
14,14,Photocopy and related equipment,25020946205.02676,EP31,0.18000,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Instruments and Communications Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.20801,0.23800,0.22840,1.00000,1.00000,1.00000,2020
15,15,Nonelectro medical instruments,133227504586.31784,EP34,0.13500,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Instruments and Communications Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.16301,0.19300,0.18340,1.00000,1.00000,1.00000,2020
16,16,Electro medical instruments,75049828223.00996,EP35,0.13500,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Instruments and Communications Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.16301,0.19300,0.18340,1.00000,1.00000,1.00000,2020
17,17,Nonmedical instruments,108363933017.88855,EP36,0.13500,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Instruments and Communications Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.16301,0.19300,0.18340,1.00000,1.00000,1.00000,2020
18,18,Household furniture,8900871527.04918,EO11,0.13750,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.08991,0.18158,0.13131,Office and Residential Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.16551,0.19550,0.18590,1.00000,1.00000,1.00000,2020
19,19,Other furniture,201600171016.62607,EO12,0.11790,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Office and Residential Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.14591,0.17590,0.16630,1.00000,1.00000,1.00000,2020
20,20,Household appliances,2759304252.24404,EO71,0.16500,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Office and Residential Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.19301,0.22300,0.21340,1.00000,1.00000,1.00000,2020
21,21,Service industry machinery,100661650545.77032,EO60,0.15280,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Other Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.18081,0.21080,0.20120,1.00000,1.00000,1.00000,2020
22,22,Other electrical,16821590673.30212,EO72,0.18340,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Other Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.21141,0.24140,0.23180,1.00000,1.00000,1.00000,2020
23,23,Other,219586535061.53326,EO80,0.14730,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.08991,0.18158,0.13131,Other Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.17531,0.20530,0.19570,1.00000,1.00000,1.00000,2020
24,24,Nuclear fuel,6455272412.79992,EI11,0.25000,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.08991,0.18158,0.13131,Other Industrial Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.27801,0.30800,0.29840,1.00000,1.00000,1.00000,2020
25,25,Other fabricated metals,117546642593.84708,EI12,0.09170,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.08991,0.18158,0.13131,Other Industrial Equipment,0.02801,0.05800,0.04840,corporate,-0.00252,0.01053,0.00636,0.11971,0.14970,0.14010,1.00000,1.00000,1.00000,2020
