,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix,year
0,0,Prepackaged software,72268924053.12727,ENS1,0.55000,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.09235,0.18232,0.13146,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00259,0.01057,0.00636,0.57801,0.60800,0.59840,1.00000,1.00000,1.00000,2021
1,1,Custom software,197240164684.60291,ENS2,0.33000,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.09235,0.18232,0.13146,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00259,0.01057,0.00636,0.35801,0.38800,0.37840,1.00000,1.00000,1.00000,2021
2,2,Mainframes,17413293618.87355,EP1A,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.09235,0.18232,0.13146,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00259,0.01057,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2021
3,3,PCs,53550810953.45985,EP1B,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.09235,0.18232,0.13146,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00259,0.01057,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2021
4,4,DASDs,0.00000,EP1C,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.09235,0.18232,0.13146,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00259,0.01057,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2021
5,5,Printers,9260043910.94578,EP1D,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.09235,0.18232,0.13146,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00259,0.01057,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2021
6,6,Terminals,12396994619.05792,EP1E,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.09235,0.18232,0.13146,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00259,0.01057,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2021
7,7,Tape drives,0.00000,EP1F,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,0.00000,-0.10574,-0.09235,0.18232,0.13146,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00259,0.01057,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2021
8,8,Storage devices,7998988409.10011,EP1G,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.09235,0.18232,0.13146,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00259,0.01057,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2021
9,9,System integrators,28310184524.93624,EP1H,0.46330,0.16082,0.19880,0.18665,Equipment,-0.57107,-0.00000,-0.10574,-0.09235,0.18232,0.13146,Computers and Software,0.02801,0.05800,0.04840,corporate,-0.00259,0.01057,0.00636,0.49131,0.52130,0.51170,1.00000,1.00000,1.00000,2021
